Rk,Player,Nation,Pos,Squad,League,Age,MP,Min,GoalsPer90,GoalsPerShoot,PKGoals,PKAttempted,PKGoals%,Goals,OwnGoals,Assist,Pass,PassCompleted,PassComp%,PassGround,PassLow,PassHigh,PassDistanceYard,Cross,CrossCompleted,CrossComp%,TackleWon,TackleComm,TackleLost,TackleWon%,SuccDribble,Dribble,DribbleComp%,YellowCards,RedCards,FoulsComm,FoulsDrawn,AerWon,AerLost,AerWon%
814,Elif Elmas,MKD,FWMF,Napoli,Serie A,22,37,1620,0.17,0.09,0,0,0.0,3,0,4,824,715,86.77,688,89,48,10247,8,2,25.0,12,20,8,60.0,25,34,73.53,3,0,28,30,8,25,24.04
815,Mohamed Elneny,EGY,MF,Arsenal,Premier League,29,14,806,0.0,0.0,0,0,0.0,0,0,2,554,518,93.5,460,46,48,9189,0,0,0.0,9,17,8,52.94,0,1,0.0,1,0,5,7,11,11,50.0
816,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,28,30,2105,0.17,0.25,0,0,0.0,4,0,1,1163,992,85.3,840,104,219,21437,3,0,0.0,16,26,10,61.54,7,10,70.0,3,1,19,22,80,29,73.39
817,Nico Elvedi,SUI,DF,M'Gladbach,Bundesliga,25,28,2430,0.04,0.07,0,0,0.0,1,0,0,1704,1588,93.19,1466,105,131,33801,0,0,0.0,24,46,22,52.17,1,3,33.33,3,1,22,23,91,50,64.56
818,Sepe Elye Wahi,FRA,FW,Montpellier,Ligue 1,19,33,1786,0.51,0.23,0,0,0.0,10,0,1,251,168,66.93,193,35,24,2132,15,1,6.67,14,23,9,60.87,10,28,35.71,2,0,20,28,14,56,20.06
819,Mohamed Elyounoussi,NOR,MFFW,Southampton,Premier League,27,30,2042,0.18,0.09,0,0,0.0,4,0,2,638,452,70.85,429,104,105,6805,35,2,5.71,33,46,13,71.74,18,37,48.65,4,0,38,28,35,61,36.41
820,Adri Embarba,ESP,FWMF,Espanyol,La Liga,30,32,1986,0.0,0.0,0,0,0.0,0,0,2,793,491,61.92,422,128,243,8451,77,12,15.58,25,42,17,59.52,32,70,45.71,4,0,39,54,20,33,37.66
821,Breel Embolo,SUI,FWMF,M'Gladbach,Bundesliga,25,29,2166,0.37,0.19,0,0,0.0,9,0,3,588,429,72.96,436,103,48,6211,6,2,33.33,21,29,8,72.41,36,81,44.44,3,0,46,83,44,94,31.94
822,Emerson,BRA,DF,Tottenham,Premier League,23,31,2286,0.04,0.07,0,0,0.0,1,0,1,1440,1179,81.88,912,320,211,19182,60,10,16.67,39,86,47,45.35,18,27,66.67,5,0,38,53,41,42,49.39
823,Emerson,BRA,DF,Barcelona,La Liga,23,3,91,0.0,0.0,0,0,0.0,0,0,0,69,58,84.06,48,16,5,1007,2,1,50.0,3,4,1,75.0,0,1,0.0,0,0,3,3,0,1,0.0
824,Renaud Emond,BEL,MFFW,Nantes,Ligue 1,30,6,190,0.0,0.0,0,0,0.0,0,0,0,33,23,69.7,14,12,7,339,0,0,0.0,2,3,1,66.67,1,1,100.0,0,0,3,4,4,13,23.49
825,Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,24,23,1277,0.35,0.11,1,1,100.0,5,0,1,183,126,68.85,101,46,36,1947,4,0,0.0,5,9,4,55.56,6,16,37.5,1,0,11,11,46,57,44.69
826,Keita Endo,JPN,MFFW,Union Berlin,Bundesliga,24,4,55,0.0,0.0,0,0,0.0,0,0,0,27,18,66.67,20,2,5,289,2,0,0.0,0,2,2,0.0,0,1,0.0,0,0,0,2,1,2,33.4
827,Wataru Endo,JPN,MF,Stuttgart,Bundesliga,29,33,2899,0.12,0.09,0,0,0.0,4,0,2,1565,1282,81.92,1133,192,239,23393,9,2,22.22,42,74,32,56.76,30,50,60.0,4,0,35,72,93,52,64.22
828,Christian Eriksen,DEN,MF,Brentford,Premier League,30,11,939,0.1,0.05,0,0,0.0,1,0,4,634,472,74.45,375,65,194,10893,30,8,26.67,10,18,8,55.56,7,17,41.18,1,0,6,4,6,9,40.0
829,Martin Erlic,CRO,DF,Spezia,Serie A,24,30,2576,0.07,0.13,0,0,0.0,2,0,0,1047,855,81.66,712,103,233,19794,3,0,0.0,22,33,11,66.67,2,2,100.0,5,0,30,21,71,50,58.63
830,Gonzalo Escalante,ARG,MF,Lazio,Serie A,29,1,9,0.0,0.0,0,0,0.0,0,0,0,5,4,80.0,3,1,1,72,0,0,0.0,0,1,1,0.0,0,0,0.0,0,0,0,0,0,0,0.0
831,Gonzalo Escalante,ARG,MF,Alavés,La Liga,29,17,1300,0.35,0.29,0,0,0.0,5,0,0,403,278,68.98,217,58,127,4897,3,0,0.0,16,30,14,53.33,6,11,54.55,8,1,30,27,40,28,58.9
832,Aarón Escandell,ESP,GK,Granada,La Liga,26,4,284,0.0,0.0,0,0,0.0,0,0,0,125,72,57.6,30,6,89,2924,0,0,0.0,0,0,0,0.0,0,0,0.0,1,1,0,1,0,0,0.0
833,Sergio Escudero,ESP,DFMF,Granada,La Liga,32,27,1434,0.13,0.1,0,0,0.0,2,0,1,720,525,72.92,334,164,224,10338,35,4,11.43,23,47,24,48.94,3,13,23.08,6,0,16,22,39,35,52.69
834,Alfonso Espino,URU,DF,Cádiz,La Liga,30,37,3329,0.05,0.07,0,0,0.0,2,0,2,1780,1125,63.2,829,358,592,22133,105,22,20.95,78,113,35,69.03,23,40,57.5,6,0,58,48,55,67,45.15
835,Michael Esser,GER,GK,Bochum,Bundesliga,34,3,270,0.0,0.0,0,0,0.0,0,0,0,134,80,59.7,56,3,75,2461,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
836,Estanis,ESP,FW,Barcelona,La Liga,18,1,11,0.0,0.0,0,0,0.0,0,0,0,1,0,0.0,0,1,0,0,0,0,0.0,1,1,0,100.0,0,0,0.0,0,0,1,0,0,2,0.0
837,Maxime Estève,FRA,DF,Montpellier,Ligue 1,20,24,1857,0.0,0.0,0,0,0.0,0,0,0,814,700,86.0,655,61,98,14925,0,0,0.0,19,34,15,55.88,2,3,66.67,2,0,9,8,36,30,54.52
838,Pervis Estupiñán,ECU,DF,Villarreal,La Liga,24,28,1575,0.0,0.0,0,0,0.0,0,0,1,1057,836,79.09,682,205,171,14329,63,15,23.81,20,37,17,54.05,18,29,62.07,3,0,27,12,29,24,54.79
839,Oghenekaro Etebo,NGA,MF,Watford,Premier League,26,9,401,0.0,0.0,0,0,0.0,0,0,0,157,141,89.81,125,7,25,3290,1,1,100.0,10,12,2,83.33,4,6,66.67,3,0,9,4,2,2,50.0
840,Jonny Evans,NIR,DF,Leicester City,Premier League,34,18,1348,0.07,0.33,0,0,0.0,1,0,1,976,812,83.2,692,72,212,17882,3,1,33.33,18,27,9,66.67,1,2,50.0,3,0,16,12,53,18,74.63
841,Eberechi Eze,ENG,MFFW,Crystal Palace,Premier League,23,13,605,0.15,0.1,0,0,0.0,1,0,1,305,234,76.72,211,37,57,4263,10,2,20.0,5,10,5,50.0,11,20,55.0,1,0,7,14,12,11,52.19
842,Abdessamad Ezzalzouli,MAR,FWDF,Barcelona,La Liga,20,10,580,0.16,0.06,0,0,0.0,1,0,0,189,138,73.02,141,25,23,1783,21,1,4.76,10,15,5,66.67,29,47,61.7,4,0,17,19,3,14,17.67
843,?ukasz Fabia?ski,POL,GK,West Ham,Premier League,37,37,3330,0.0,0.0,0,0,0.0,0,0,0,1006,636,63.22,385,42,577,23247,0,0,0.0,0,0,0,0.0,0,0,0.0,2,0,1,7,0,0,0.0
844,Fabinho,BRA,MF,Liverpool,Premier League,28,29,2314,0.19,0.16,2,2,100.0,5,0,1,1521,1342,88.23,1139,164,219,24541,6,1,16.67,37,57,20,64.91,8,11,72.73,7,0,49,39,45,28,61.62
845,Fábio,BRA,DF,Nantes,Ligue 1,31,27,1667,0.0,0.0,0,0,0.0,0,0,2,853,631,73.97,435,198,220,11094,31,3,9.68,36,67,31,53.73,15,26,57.69,8,1,33,19,40,29,57.91
846,Cesc Fàbregas,ESP,MF,Monaco,Ligue 1,35,2,38,0.0,0.0,0,0,0.0,0,0,0,53,42,79.25,33,9,11,873,3,1,33.33,0,0,0,0.0,0,0,0.0,0,0,1,2,0,1,0.0
847,Wout Faes,BEL,DF,Reims,Ligue 1,24,37,3330,0.11,0.17,0,0,0.0,4,0,0,1432,1254,87.57,1092,110,232,28830,2,0,0.0,27,43,16,62.79,7,9,77.78,2,0,23,26,50,38,56.72
848,Wahidullah Faghir,DEN,FW,Stuttgart,Bundesliga,18,6,123,0.71,0.17,0,0,0.0,1,0,0,33,21,63.64,22,6,5,255,0,0,0.0,0,1,1,0.0,3,5,60.0,0,0,0,3,4,4,50.0
849,Romain Faivre,FRA,MF,Brest,Ligue 1,23,21,1795,0.35,0.06,5,5,100.0,7,0,5,860,667,77.56,633,82,145,11458,45,5,11.11,24,32,8,75.0,49,100,49.0,1,0,14,29,8,16,33.33
850,Romain Faivre,FRA,FWMF,Lyon,Ligue 1,23,14,889,0.3,0.15,0,0,0.0,3,0,0,596,489,82.05,458,47,91,8535,25,4,16.0,4,10,6,40.0,26,45,57.78,0,0,14,20,3,4,42.86
851,Radamel Falcao,COL,FW,Rayo Vallecano,La Liga,36,22,838,0.65,0.18,0,0,0.0,6,0,0,174,133,76.44,104,47,23,1967,3,1,33.33,1,3,2,33.33,3,6,50.0,1,0,20,18,34,45,43.06
852,Diego Falcinelli,ITA,FWMF,Bologna,Serie A,30,6,66,0.0,0.0,0,0,0.0,0,0,0,21,13,61.9,14,3,4,174,0,0,0.0,2,4,2,50.0,1,3,33.33,0,0,2,4,6,6,50.0
853,Wladimiro Falcone,ITA,GK,Sampdoria,Serie A,27,10,855,0.0,0.0,0,0,0.0,0,0,0,358,250,69.83,165,9,184,7775,0,0,0.0,0,0,0,0.0,0,0,0.0,2,0,0,1,0,0,0.0
854,Fali,ESP,DFMF,Cádiz,La Liga,28,28,1803,0.0,0.0,0,0,0.0,0,0,2,674,522,77.45,412,66,197,12300,8,1,12.5,27,38,11,71.05,1,3,33.33,6,0,20,11,40,29,57.97
855,Paolo Faragò,ITA,MF,Cagliari,Serie A,29,1,16,0.0,0.0,0,0,0.0,0,0,0,8,7,87.5,5,1,2,97,0,0,0.0,1,2,1,50.0,1,1,100.0,0,0,0,0,1,1,50.0
856,Omar Faraj,SWE,FW,Levante,La Liga,20,1,4,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
857,Davide Faraoni,ITA,DF,Hellas Verona,Serie A,30,32,2572,0.14,0.14,0,0,0.0,4,0,5,1370,958,69.93,561,363,446,18304,72,22,30.56,45,69,24,65.22,16,38,42.11,8,1,29,34,46,66,41.07
858,Mohamed Fares,ALG,DFFW,Genoa,Serie A,26,9,587,0.31,0.15,0,0,0.0,2,0,1,258,178,68.99,129,65,64,3326,19,6,31.58,4,10,6,40.0,7,16,43.75,2,0,12,8,12,16,42.92
859,Diego Farias,BRA,MFFW,Cagliari,Serie A,32,4,66,0.0,0.0,0,0,0.0,0,0,0,35,29,82.86,25,3,7,510,2,0,0.0,0,1,1,0.0,2,2,100.0,0,0,0,0,2,3,40.0
860,Wuilker Faríñez,VEN,GK,Lens,Ligue 1,24,13,1105,0.0,0.0,0,0,0.0,0,0,0,303,239,78.88,196,9,99,5499,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
861,Ömer Faruk Beyaz,TUR,FWDF,Stuttgart,Bundesliga,18,4,71,0.0,0.0,0,0,0.0,0,0,0,39,29,74.36,29,3,7,382,0,0,0.0,5,5,0,100.0,2,2,100.0,0,0,0,0,1,1,50.0
862,Noah Fatar,FRA,DFMF,Angers,Ligue 1,20,3,5,0.0,0.0,0,0,0.0,0,0,0,7,4,57.14,2,4,1,88,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0.0
863,Ansu Fati,ESP,FW,Barcelona,La Liga,19,10,336,1.08,0.22,0,0,0.0,4,0,0,164,136,82.93,136,21,7,1706,4,0,0.0,2,4,2,50.0,6,15,40.0,0,0,10,12,1,2,33.33
864,Julien Faussurier,FRA,MFDF,Brest,Ligue 1,35,16,489,0.0,0.0,0,0,0.0,0,0,1,266,199,74.81,143,59,64,3837,30,7,23.33,8,10,2,80.0,2,6,33.33,1,0,6,7,4,6,40.0
865,Andrea Favilli,ITA,FW,Genoa,Serie A,25,1,36,0.0,0.0,0,0,0.0,0,0,0,6,5,83.33,6,0,0,66,0,0,0.0,0,0,0,0.0,0,1,0.0,0,0,0,1,0,1,0.0
866,Federico Fazio,ARG,DF,Salernitana,Serie A,35,16,1434,0.06,0.06,0,0,0.0,1,0,0,625,518,82.88,421,72,132,10302,5,1,20.0,9,15,6,60.0,11,13,84.62,3,1,17,19,68,19,78.24
867,Aleix Febas,ESP,MF,Mallorca,La Liga,26,4,117,0.0,0.0,0,0,0.0,0,0,0,56,50,89.29,41,11,4,948,0,0,0.0,4,5,1,80.0,3,4,75.0,1,0,2,4,2,2,50.0
868,Adrian Fein,GER,MF,Greuther Fürth,Bundesliga,23,3,32,0.0,0.0,0,0,0.0,0,0,0,9,6,66.67,5,1,3,117,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0.0
869,Nabil Fekir,FRA,MF,Betis,La Liga,28,34,2794,0.19,0.07,0,0,0.0,6,0,8,1507,1215,80.62,1104,112,291,20705,63,3,4.76,34,48,14,70.83,57,103,55.34,7,1,71,117,30,65,31.6
870,Felipe,BRA,DF,Atlético Madrid,La Liga,33,26,1504,0.12,0.18,0,0,0.0,2,0,1,793,660,83.23,546,85,162,13485,0,0,0.0,16,22,6,72.73,4,4,100.0,5,1,27,14,62,30,67.33
871,Luiz Felipe,ITA,DF,Lazio,Serie A,25,31,2491,0.0,0.0,0,0,0.0,0,0,0,1817,1673,92.07,1548,130,139,32921,2,0,0.0,25,50,25,50.0,3,4,75.0,9,1,31,21,56,44,55.96
872,Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,24,13,787,0.0,0.0,0,0,0.0,0,0,0,414,331,79.95,290,32,92,7241,1,0,0.0,6,13,7,46.15,4,6,66.67,1,0,10,8,30,12,71.43
873,João Félix,POR,FWMF,Atlético Madrid,La Liga,22,24,1263,0.57,0.21,0,0,0.0,8,0,4,461,342,74.19,301,69,90,5562,18,3,16.67,5,6,1,83.33,26,50,52.0,3,1,17,67,24,27,46.98
874,Kiko Femenía,ESP,DF,Watford,Premier League,31,27,2142,0.0,0.0,0,0,0.0,0,0,5,1197,857,71.6,593,255,350,14470,55,9,16.36,26,43,17,60.47,8,17,47.06,2,0,16,16,21,25,45.6
875,Evan Ferguson,IRL,MF,Brighton,Premier League,17,1,23,0.0,0.0,0,0,0.0,0,0,0,7,6,85.71,5,0,2,98,1,1,100.0,0,0,0,0.0,0,0,0.0,0,0,0,0,1,3,24.98
876,Nathan Ferguson,ENG,DF,Crystal Palace,Premier League,21,1,9,0.0,0.0,0,0,0.0,0,0,0,5,3,60.0,0,3,2,23,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
877,Bruno Fernandes,POR,MF,Manchester Utd,Premier League,27,36,3111,0.29,0.11,0,2,0.0,10,0,6,2024,1522,75.2,1363,199,464,29670,82,15,18.29,45,59,14,76.27,23,51,45.1,10,0,44,60,23,33,40.99
878,Edimilson Fernandes,SUI,DFFW,Arminia,Bundesliga,26,7,283,0.0,0.0,0,0,0.0,0,0,0,124,93,75.0,80,17,27,1700,8,3,37.5,3,3,0,100.0,3,5,60.0,0,0,3,2,4,3,57.08
879,Aitor Fernández,ESP,GK,Levante,La Liga,31,13,1166,0.0,0.0,0,0,0.0,0,0,0,381,266,69.82,181,24,176,8055,0,0,0.0,1,1,0,100.0,0,0,0.0,1,1,0,4,0,0,0.0
880,Álex Fernández,ESP,MF,Cádiz,La Liga,29,32,2051,0.13,0.11,1,2,50.0,3,0,2,1024,816,79.69,707,103,213,16158,34,5,14.71,32,49,17,65.31,10,22,45.45,2,0,19,27,23,47,32.9
881,Álvaro Fernández,ESP,GK,Brentford,Premier League,24,12,1080,0.0,0.0,0,0,0.0,0,1,0,500,322,64.4,238,13,250,9413,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0.0
882,Federico Fernández,ARG,DF,Newcastle Utd,Premier League,33,7,523,0.0,0.0,0,0,0.0,0,0,0,214,183,85.51,161,10,43,4199,0,0,0.0,1,1,0,100.0,0,0,0.0,0,0,2,2,10,5,66.67
883,Fernandinho,BRA,MFDF,Manchester City,Premier League,37,19,964,0.19,0.11,0,0,0.0,2,0,1,806,730,90.57,664,58,84,14073,4,1,25.0,16,23,7,69.57,8,9,88.89,1,0,22,16,21,15,58.33
884,Fernando,BRA,MFDF,Sevilla,La Liga,34,24,1850,0.05,0.14,0,0,0.0,1,0,1,1248,1121,89.82,970,116,161,24782,2,0,0.0,23,29,6,79.31,6,9,66.67,6,0,19,13,42,45,48.34
885,Alex Ferrari,ITA,DF,Sampdoria,Serie A,27,23,1643,0.05,0.25,0,0,0.0,1,0,0,813,688,84.62,606,80,128,15090,4,0,0.0,24,44,20,54.55,4,12,33.33,4,0,29,25,24,25,48.88
886,Salvador Ferrer,ESP,DFMF,Spezia,Serie A,24,27,1495,0.0,0.0,0,0,0.0,0,0,3,754,588,77.98,415,161,178,11633,33,11,33.33,23,36,13,63.89,5,8,62.5,3,0,13,11,33,30,52.37
887,Jordan Ferri,FRA,MF,Montpellier,Ligue 1,30,34,2911,0.0,0.0,0,0,0.0,0,0,2,2503,2100,83.9,1848,234,420,43599,25,5,20.0,47,67,20,70.15,35,52,67.31,13,1,54,73,17,39,30.46
888,Riccardo Fiamozzi,ITA,DF,Empoli,Serie A,29,10,620,0.0,0.0,0,0,0.0,0,0,1,388,292,75.26,213,84,91,5733,12,2,16.67,6,8,2,75.0,2,8,25.0,1,0,5,9,3,7,29.86
889,Fidel,ESP,MFFW,Elche,La Liga,32,33,2261,0.2,0.25,1,1,100.0,5,0,6,1094,813,74.31,745,150,200,13672,52,9,17.31,20,38,18,52.63,23,55,41.82,9,0,30,34,7,25,21.88
890,Karol Fila,POL,DF,Strasbourg,Ligue 1,23,16,560,0.0,0.0,0,0,0.0,0,0,0,383,298,77.81,248,62,73,4837,15,2,13.33,12,14,2,85.71,1,6,16.67,3,0,8,9,8,5,61.43
891,Alfre? Finnbogason,ISL,FWMF,Augsburg,Bundesliga,33,10,292,0.63,0.33,0,0,0.0,2,0,1,71,43,60.56,43,14,14,701,1,0,0.0,0,2,2,0.0,4,10,40.0,0,0,4,1,8,7,53.3
892,Luca Fiordilino,ITA,MF,Venezia,Serie A,25,15,661,0.0,0.0,0,0,0.0,0,0,0,295,251,85.08,228,28,39,4549,5,3,60.0,13,25,12,52.0,3,7,42.86,2,0,8,13,7,7,50.0
893,Vincenzo Fiorillo,ITA,GK,Salernitana,Serie A,32,1,90,0.0,0.0,0,0,0.0,0,0,0,31,23,74.19,8,4,19,955,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
894,Roberto Firmino,BRA,FW,Liverpool,Premier League,30,20,990,0.45,0.17,0,0,0.0,5,0,4,500,393,78.6,392,65,44,5872,8,1,12.5,21,34,13,61.76,17,32,53.12,3,0,9,9,13,30,30.18
895,Junior Firpo,ESP,DF,Leeds United,Premier League,25,24,1711,0.0,0.0,0,0,0.0,0,1,2,931,775,83.24,576,220,134,13328,27,7,25.93,38,73,35,52.05,10,21,47.62,11,0,50,20,33,21,61.05
896,Mark Flekken,NED,GK,Freiburg,Bundesliga,28,32,2880,0.0,0.0,0,0,0.0,0,0,0,1334,912,68.37,586,35,714,32570,0,0,0.0,0,0,0,0.0,1,1,100.0,0,0,0,1,0,0,0.0
897,Ashley Fletcher,ENG,FW,Watford,Premier League,26,3,30,0.0,0.0,0,0,0.0,0,0,0,9,3,33.33,3,5,1,74,0,0,0.0,2,2,0,100.0,0,1,0.0,0,0,1,0,2,6,25.01
898,Alexis Flips,FRA,FWMF,Reims,Ligue 1,22,25,1056,0.17,0.06,1,1,100.0,2,0,4,500,309,61.8,275,86,139,5856,49,7,14.29,25,41,16,60.98,14,26,53.85,2,0,19,12,10,26,27.69
899,Alessandro Florenzi,ITA,DFFW,Milan,Serie A,31,24,1152,0.16,0.09,0,0,0.0,2,0,0,805,650,80.75,454,163,187,13085,31,8,25.81,16,28,12,57.14,7,11,63.64,2,0,11,8,13,10,56.67
900,Phil Foden,ENG,FW,Manchester City,Premier League,22,28,2128,0.38,0.16,0,0,0.0,9,0,5,1095,885,80.82,826,102,168,14429,59,10,16.95,15,19,4,78.95,39,55,70.91,1,0,17,38,8,33,19.54
901,Mamadou Fofana,MLI,DF,Metz,Ligue 1,24,1,33,0.0,0.0,0,0,0.0,0,0,0,4,3,75.0,2,1,1,82,0,0,0.0,1,1,0,100.0,0,0,0.0,0,0,0,0,0,1,0.0
902,Seko Fofana,CIV,MF,Lens,Ligue 1,27,38,3357,0.21,0.08,0,0,0.0,8,0,1,1820,1596,87.69,1537,149,132,26904,34,7,20.59,22,35,13,62.86,72,116,62.07,2,0,29,57,17,20,46.0
903,Wesley Fofana,FRA,DF,Leicester City,Premier League,21,7,630,0.0,0.0,0,0,0.0,0,0,0,504,452,89.68,420,28,56,9774,0,0,0.0,5,10,5,50.0,2,2,100.0,2,0,9,8,23,12,65.8
904,Youssouf Fofana,FRA,MF,Monaco,Ligue 1,23,33,2190,0.0,0.0,0,0,0.0,0,0,4,1198,921,76.88,892,111,196,17146,9,2,22.22,51,72,21,70.83,34,55,61.82,4,0,37,26,16,13,55.46
905,Thomas Foket,BEL,DFMF,Reims,Ligue 1,27,29,2235,0.04,0.13,0,0,0.0,1,0,0,1096,861,78.56,660,224,213,15755,50,14,28.0,17,31,14,54.84,16,25,64.0,5,0,29,28,15,27,35.5
906,Thomas Fontaine,MAD,DF,Lorient,Ligue 1,31,2,167,0.0,0.0,0,0,0.0,0,0,0,53,45,84.91,40,3,10,1117,0,0,0.0,0,1,1,0.0,0,0,0.0,1,0,4,1,2,5,28.53
907,José Fontán,ESP,DF,Celta Vigo,La Liga,22,9,276,0.0,0.0,0,0,0.0,0,0,0,204,172,84.31,162,12,30,3871,4,2,50.0,4,9,5,44.44,0,1,0.0,3,0,8,0,7,0,100.0
908,José Fonte,POR,DF,Lille,Ligue 1,38,38,3420,0.0,0.0,0,0,0.0,0,0,2,2090,1816,86.89,1550,191,350,41549,7,2,28.57,15,28,13,53.57,3,4,75.0,4,0,25,11,112,33,77.23
909,Fernando Forestieri,ITA,FWMF,Udinese,Serie A,32,4,58,3.33,0.67,0,0,0.0,2,0,1,23,16,69.57,15,2,6,228,3,0,0.0,1,1,0,100.0,1,1,100.0,1,0,5,4,0,2,0.0
910,Pablo Fornals,ESP,FWMF,West Ham,Premier League,26,36,2795,0.19,0.14,0,0,0.0,6,0,3,1381,1036,75.02,973,167,241,18934,49,11,22.45,34,51,17,66.67,25,54,46.3,4,0,32,40,29,38,43.26
911,Emil Forsberg,SWE,MFFW,RB Leipzig,Bundesliga,30,31,1706,0.32,0.05,4,4,100.0,6,0,2,773,636,82.28,602,87,84,10150,17,2,11.76,15,20,5,75.0,22,42,52.38,2,0,13,21,10,22,31.36
912,Adam Forshaw,ENG,MF,Leeds United,Premier League,30,22,1530,0.0,0.0,0,0,0.0,0,0,1,809,678,83.81,592,87,131,12611,5,0,0.0,28,51,23,54.9,9,16,56.25,5,0,38,21,13,15,46.34
913,Marcus Forss,FIN,FWMF,Brentford,Premier League,22,7,209,0.0,0.0,0,0,0.0,0,0,1,41,24,58.54,18,13,10,380,1,0,0.0,2,4,2,50.0,2,4,50.0,0,0,4,1,5,15,24.97
914,Fraser Forster,ENG,GK,Southampton,Premier League,34,19,1710,0.0,0.0,0,0,0.0,0,0,0,597,348,58.29,222,21,352,12274,0,0,0.0,0,1,1,0.0,0,0,0.0,1,0,0,3,0,0,0.0
915,Philipp Förster,GER,FWMF,Stuttgart,Bundesliga,27,20,967,0.19,0.07,0,0,0.0,2,0,1,429,373,86.95,342,56,31,5931,4,3,75.0,12,24,12,50.0,10,20,50.0,4,0,18,10,11,16,40.71
916,Francesco Forte,ITA,FW,Venezia,Serie A,29,12,422,0.21,0.09,0,0,0.0,1,0,0,77,55,71.43,44,16,17,784,3,0,0.0,3,5,2,60.0,2,3,66.67,3,0,11,6,19,16,54.3
917,Steven Fortes,CPV,DF,Lens,Ligue 1,30,1,90,0.0,0.0,0,0,0.0,0,0,0,29,25,86.21,21,3,5,613,0,0,0.0,0,1,1,0.0,1,2,50.0,0,0,2,0,1,0,100.0
918,Ben Foster,ENG,GK,Watford,Premier League,39,26,2340,0.0,0.0,0,0,0.0,0,0,1,868,416,47.93,174,36,658,18637,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1,4,0,0,0.0
919,Tariqe Fosu,GHA,DF,Brentford,Premier League,26,1,17,0.0,0.0,0,0,0.0,0,0,0,8,6,75.0,5,1,2,110,1,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0.0
920,Timothy Fosu-Mensah,NED,DF,Leverkusen,Bundesliga,24,6,145,0.0,0.0,0,0,0.0,0,0,0,92,72,78.26,49,23,20,1273,4,2,50.0,2,6,4,33.33,1,2,50.0,0,0,1,0,3,3,50.0
921,Dimitri Foulquier,FRA,DF,Granada,La Liga,29,2,180,0.0,0.0,0,0,0.0,0,0,0,76,52,68.42,33,22,21,740,5,1,20.0,2,2,0,100.0,1,1,100.0,0,0,1,4,4,3,57.14
922,Dimitri Foulquier,FRA,DF,Valencia,La Liga,29,29,2342,0.0,0.0,0,0,0.0,0,0,1,1006,702,69.78,465,276,265,13538,35,5,14.29,26,48,22,54.17,16,25,64.0,11,0,46,42,25,29,46.15
923,Juan Foyth,ARG,DF,Villarreal,La Liga,24,25,1924,0.05,0.17,0,0,0.0,1,0,1,1179,999,84.73,796,210,173,18468,10,1,10.0,46,72,26,63.89,20,30,66.67,6,1,44,29,48,22,68.5
924,Gianluca Frabotta,ITA,DFFW,Hellas Verona,Serie A,22,2,20,0.0,0.0,0,0,0.0,0,0,0,9,4,44.44,6,0,3,51,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1,1,0,1,0.0
925,Raphael Framberger,GER,DF,Augsburg,Bundesliga,26,23,848,0.0,0.0,0,0,0.0,0,0,0,446,295,66.14,199,121,126,5431,24,10,41.67,19,34,15,55.88,8,11,72.73,3,0,19,9,15,12,55.56
926,Przemys?aw Frankowski,POL,DF,Lens,Ligue 1,27,37,2448,0.22,0.18,0,0,0.0,6,0,5,1442,1178,81.69,963,294,187,19989,51,12,23.53,38,68,30,55.88,21,41,51.22,5,0,40,9,12,14,46.32
927,Enric Franquesa,ESP,DF,Levante,La Liga,25,16,625,0.0,0.0,0,0,0.0,0,0,0,274,210,76.64,153,65,56,3414,8,2,25.0,3,6,3,50.0,8,18,44.44,1,0,9,7,13,9,59.12
928,Fransérgio,BRA,MF,Bordeaux,Ligue 1,31,26,1258,0.0,0.0,0,0,0.0,0,0,1,538,386,71.75,351,73,113,8261,2,0,0.0,16,27,11,59.26,2,6,33.33,7,0,31,12,29,26,52.67
929,Ryan Fraser,SCO,FWMF,Newcastle Utd,Premier League,28,27,1465,0.12,0.08,0,0,0.0,2,0,3,478,333,69.67,284,55,139,5698,61,13,21.31,4,13,9,30.77,2,7,28.57,3,0,12,24,7,23,23.37
930,Davide Frattesi,ITA,MF,Sassuolo,Serie A,22,36,2854,0.13,0.06,0,0,0.0,4,1,3,1265,1059,83.72,1030,109,127,18402,19,4,21.05,27,51,24,52.94,34,57,59.65,6,0,48,63,28,38,42.31
