Rk,Player,Nation,Pos,Squad,League,Age,MP,Min,GoalsPer90,GoalsPerShoot,PKGoals,PKAttempted,PKGoals%,Goals,OwnGoals,Assist,Pass,PassCompleted,PassComp%,PassGround,PassLow,PassHigh,PassDistanceYard,Cross,CrossCompleted,CrossComp%,TackleWon,TackleComm,TackleLost,TackleWon%,SuccDribble,Dribble,DribbleComp%,YellowCards,RedCards,FoulsComm,FoulsDrawn,AerWon,AerLost,AerWon%
132,Marco Asensio,ESP,FWMF,Real Madrid,La Liga,26,31,1731,0.52,0.16,0,0,0.0,10,0,0,904,739,81.75,693,93,117,12641,43,3,6.98,10,16,6,62.5,20,39,51.28,2,0,12,26,1,9,9.62
133,Harrison Ashby,SCO,DF,West Ham,Premier League,20,1,7,0.0,0.0,0,0,0.0,0,0,0,8,7,87.5,5,2,1,142,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
134,Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,21,19,754,0.0,0.0,0,0,0.0,0,1,0,228,156,68.42,113,51,64,2447,1,0,0.0,10,16,6,62.5,4,7,57.14,5,0,20,14,23,17,57.56
135,Fisnik Asllani,KVX,MFFW,Hoffenheim,Bundesliga,19,2,9,0.0,0.0,0,0,0.0,0,0,0,8,6,75.0,6,2,0,89,0,0,0.0,0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0.0
136,Kristjan Asllani,ALB,MF,Empoli,Serie A,20,23,1353,0.07,0.06,0,0,0.0,1,0,1,746,616,82.57,544,50,152,13290,13,1,7.69,14,27,13,51.85,5,12,41.67,2,0,12,24,5,15,24.81
137,Iago Aspas,ESP,FW,Celta Vigo,La Liga,34,37,3087,0.5,0.17,3,5,60.0,17,0,5,1358,978,72.02,981,191,184,15428,86,10,11.63,7,14,7,50.0,36,61,59.02,9,0,26,64,35,62,36.04
138,Lorenz Assignon,TOG,DF,Rennes,Ligue 1,21,20,616,0.0,0.0,0,0,0.0,0,0,2,387,311,80.36,243,92,52,5548,15,2,13.33,10,14,4,71.43,5,9,55.56,0,0,13,14,10,6,62.55
139,Simon Asta,GER,DF,Greuther Fürth,Bundesliga,21,13,783,0.0,0.0,0,0,0.0,0,1,0,401,287,71.57,210,80,111,5377,16,2,12.5,8,14,6,57.14,2,6,33.33,1,0,13,9,6,9,40.12
140,Youcef Atal,ALG,DF,Nice,Ligue 1,26,17,1140,0.16,0.14,0,0,0.0,2,0,1,729,559,76.68,432,149,149,9314,48,7,14.58,21,32,11,65.62,16,32,50.0,4,0,18,24,28,13,68.32
141,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,32,17,1082,0.92,0.29,0,0,0.0,11,0,1,244,185,75.82,181,35,28,2687,9,0,0.0,2,2,0,100.0,6,8,75.0,0,0,7,7,9,16,36.06
142,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,32,14,1037,0.35,0.12,0,2,0.0,4,0,1,205,145,70.73,120,47,38,2016,9,1,11.11,7,12,5,58.33,2,6,33.33,3,0,18,12,28,32,46.64
143,Emil Audero,ITA,GK,Sampdoria,Serie A,25,29,2560,0.0,0.0,0,0,0.0,0,0,0,1000,693,69.3,440,44,514,23436,0,0,0.0,0,0,0,0.0,0,0,0.0,2,0,0,7,0,0,0.0
144,Tommaso Augello,ITA,DF,Sampdoria,Serie A,27,36,2395,0.04,0.14,0,0,0.0,1,0,1,1383,1061,76.72,724,314,346,20038,61,13,21.31,24,45,21,53.33,21,43,48.84,0,0,15,22,41,25,62.1
145,Jean-Kévin Augustin,FRA,FWMF,Nantes,Ligue 1,24,7,84,0.0,0.0,0,0,0.0,0,0,0,18,15,83.33,14,3,1,199,0,0,0.0,0,0,0,0.0,0,2,0.0,1,0,3,1,2,2,50.0
146,Ludwig Augustinsson,SWE,DF,Sevilla,La Liga,28,19,793,0.0,0.0,0,0,0.0,0,0,1,560,452,80.71,335,98,127,7974,21,4,19.05,13,19,6,68.42,1,1,100.0,3,0,16,11,18,10,64.26
147,Serge Aurier,CIV,DF,Villarreal,La Liga,29,19,1010,0.0,0.0,0,0,0.0,0,0,1,734,627,85.42,533,108,93,11498,22,7,31.82,14,21,7,66.67,13,20,65.0,4,0,16,6,25,14,64.08
148,Ezequiel Ávila,ARG,FWMF,Osasuna,La Liga,28,36,1870,0.29,0.08,1,1,100.0,6,0,1,545,308,56.51,214,142,188,6178,58,17,29.31,9,16,7,56.25,12,31,38.71,9,1,37,39,52,84,38.23
149,Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,24,31,2174,0.62,0.2,2,2,100.0,15,1,1,484,334,69.01,305,112,68,5186,9,3,33.33,9,17,8,52.94,31,57,54.39,1,0,29,26,58,145,28.61
150,Ramzi Aya,ITA,DF,Salernitana,Serie A,31,2,135,0.0,0.0,0,0,0.0,0,0,0,28,18,64.29,14,3,11,386,1,0,0.0,1,1,0,100.0,0,0,0.0,1,0,1,0,1,1,50.0
151,Jordan Ayew,GHA,FW,Crystal Palace,Premier League,30,31,2019,0.13,0.09,0,0,0.0,3,0,3,746,569,76.27,533,108,104,8667,50,5,10.0,34,52,18,65.38,38,72,52.78,2,0,42,70,31,62,33.25
152,Kaan Ayhan,TUR,DF,Sassuolo,Serie A,27,23,1354,0.07,0.2,0,0,0.0,1,0,0,868,788,90.78,705,44,120,17190,1,0,0.0,9,22,13,40.91,2,2,100.0,2,1,13,5,34,32,51.59
153,Luke Ayling,ENG,DF,Leeds United,Premier League,30,26,2272,0.08,0.11,0,0,0.0,2,0,2,1557,1217,78.16,940,247,373,25686,25,4,16.0,45,79,34,56.96,25,41,60.98,4,1,28,24,49,51,48.99
154,Karim Azamoum,FRA,DF,Troyes,Ligue 1,32,7,388,0.0,0.0,0,0,0.0,0,0,0,145,108,74.48,95,21,29,2155,0,0,0.0,6,8,2,75.0,1,2,50.0,2,0,12,3,8,6,57.06
155,Sardar Azmoun,IRN,FWMF,Leverkusen,Bundesliga,27,9,359,0.25,0.1,0,0,0.0,1,0,1,112,80,71.43,85,16,11,1264,0,0,0.0,1,1,0,100.0,3,4,75.0,0,0,8,5,11,7,61.11
156,César Azpilicueta,ESP,DF,Chelsea,Premier League,32,27,2070,0.04,0.08,0,0,0.0,1,0,2,1714,1442,84.13,1242,217,253,24336,37,3,8.11,31,54,23,57.41,15,20,75.0,3,0,29,8,52,34,60.43
157,Iddrisu Baba,GHA,MF,Mallorca,La Liga,26,26,1934,0.09,0.09,0,0,0.0,2,0,0,774,624,80.62,544,74,157,12803,6,1,16.67,51,71,20,71.83,15,27,55.56,9,0,50,46,55,36,60.52
158,Carlos Bacca,COL,FW,Granada,La Liga,35,17,513,0.0,0.0,0,0,0.0,0,0,1,109,71,65.14,67,18,24,1137,3,0,0.0,3,5,2,60.0,8,10,80.0,3,0,3,9,12,19,38.79
159,Daniel Bachmann,AUT,GK,Watford,Premier League,27,12,1080,0.0,0.0,0,0,0.0,0,0,0,358,211,58.94,115,16,226,8152,0,0,0.0,0,0,0,0.0,1,1,100.0,0,0,1,2,0,0,0.0
160,Loïc Bade,FRA,DF,Rennes,Ligue 1,22,14,985,0.0,0.0,0,0,0.0,0,0,1,708,652,92.09,623,19,65,15371,2,1,50.0,3,5,2,60.0,2,2,100.0,3,1,7,2,32,16,66.67
161,Milan Badelj,CRO,MF,Genoa,Serie A,33,34,2844,0.03,0.05,0,0,0.0,1,0,0,1602,1261,78.71,1002,239,360,24623,10,2,20.0,44,66,22,66.67,35,53,66.04,4,0,48,26,42,42,50.0
162,Édgar Badía,ESP,GK,Elche,La Liga,30,24,2160,0.0,0.0,0,0,0.0,0,0,0,828,559,67.51,324,22,485,19656,0,0,0.0,0,0,0,0.0,0,0,0.0,2,0,0,1,0,0,0.0
